Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2020,1,VALIMP,1888.2,5742 YTURRIAS 8302 RAYMND24 1,Line,From-To,1
2020,1,VALIMP,1888.2,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,1,VALIMP,1888.2,8455 LONHILL7 8905 NEDIN7C 1,Line,From-To,1
2020,1,VALIMP,1888.2,8795 ROMA_SW4 80106 FALCONS 1,Line,To-From,1
2020,1,VALIMP,1888.2,8896 RACHAL4A 88380 RGTAP4A 1,Line,From-To,1
2020,1,VALIMP,1888.2,8902 RIOHONDO 80512 MGVLYTP 1,Line,To-From,1
2020,2,BEARKT,89999.1,23875 EINSTEI 59903 BEARKAT 1,Line,To-From,1
2020,2,BEARKT,89999.1,59902 SAND_BL 59903 BEARKAT 1,Line,To-From,1
2020,2,EASTEX,89999.1,3100 MARTINLK 3102 TYLERGND 1,Line,From-To,1
2020,2,EASTEX,89999.1,3100 MARTINLK 3103 SHAMBRGR 1,Line,From-To,1
2020,2,EASTEX,89999.1,3100 MARTINLK 3105 ELKTON_5 1,Line,From-To,1
2020,2,EASTEX,89999.1,3100 MARTINLK 3109 STRYKER_ 1,Line,From-To,1
2020,2,EASTEX,89999.1,3116 MTENTRPR 3119 NACOGDSE 1,Line,From-To,1
2020,2,EASTEX,89999.1,3116 MTENTRPR 3124 TRINDAD2 1,Line,From-To,1
2020,2,MCCAMY,2175.3,38310 TN16TH_ 38330 TNWDWRD 1,Line,To-From,1
2020,2,MCCAMY,2175.3,60014 SPUD4A 76615 L_LCRAN 1,Line,From-To,1
2020,2,MCCAMY,2175.3,60723 CROSSOV 76032 L_NORTM 1,Line,To-From,1
2020,2,MCCAMY,2175.3,6556 YATW_SW2 60370 ALLEYOO 1,Line,From-To,1
2020,2,MCCAMY,2175.3,6601 RIOPECOS 76615 L_LCRAN 1,Line,From-To,1
2020,2,MCCAMY,2175.3,6630 FTST4A 6671 TOMBSTNE 1,Line,To-From,1
2020,2,MCCAMY,2175.3,76003 L_BIGHI 76005 L_SCHND 1,Line,To-From,1
2020,2,MCCAMY,2175.3,76040 L_CASTI 76615 L_LCRAN 1,Line,From-To,1
2020,2,MCCAMY,2175.3,76579 L_FORTL 76582 L_MEVIS 1,Line,To-From,1
2020,2,MCCAMY,2175.3,76615 L_LCRAN 76635 L_KINGM 1,Line,To-From,1
2020,2,MCCAMY,2175.3,842 GPL_KINGM 11028 ODESEHV 1,Line,From-To,1
2020,2,MCCAMY,2175.3,38420 TNWHITE 69 38430 TNWHITE 138 1,Transformer,To-From,1
2020,2,MCCAMY,2175.3,6598 RIOPECOS 69 6601 RIOPECOS 138 1,Transformer,To-From,1
2020,2,MCCAMY,2175.3,6598 RIOPECOS 69 6601 RIOPECOS 138 2,Transformer,To-From,1
2020,2,NELRIO,89999.1,80076 AJO7A 85000 N_SHARP 1,Line,From-To,1
2020,2,NELRIO,89999.1,8902 RIOHONDO 80512 MGVLYTP 1,Line,To-From,1
2020,2,NE_LOB,1488.6,5709 FOWLERTO 80219 LOBO7A 1,Line,To-From,1
2020,2,NE_LOB,1488.6,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,2,NE_LOB,1488.6,80219 LOBO7A 345 80221 LOBO4A 138 1,Transformer,From-To,1
2020,2,NE_LOB,1488.6,80219 LOBO7A 345 80221 LOBO4A 138 2,Transformer,From-To,1
