Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL,Plant,Size (MW),ShadowPricePerMWH,BidPricePerMWH
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-03-01,-0.2413,-0.0216,,,-0.33,-0.19,-0.62,-0.48,-0.2909,0.049600000000000005,0.2387,0.3787,-0.05129999999999999,0.08870000000000003,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-04-01,-0.987,-0.2398,,,-0.67,-0.23,-0.4,-0.53,-0.5366,-0.4504,-0.457,-0.5870000000000001,-0.757,-0.31699999999999995,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-05-01,-0.1601,-0.0643,,,-0.69,-0.25,-0.23,-0.36,-0.4558,0.2957,0.1999,0.06990000000000003,0.08990000000000001,0.5298999999999999,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-06-01,-0.2709,0.0473,,,-0.96,-0.49,-0.11,-0.81,-0.5208,0.2499000000000001,0.5391000000000001,-0.1609,0.2191,0.6891,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-07-01,-0.3027,-0.0052,,,-0.03,0.26,-0.4654,-0.4832,-0.4844,0.1817,0.1805,0.16269999999999996,-0.5627,-0.27270000000000005,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-08-01,-0.0642,-0.0031,,,-0.02,0.06,-0.4855,-0.5126,-0.419,0.3548,0.4484,0.4213,-0.1242,-0.04419999999999999,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-09-01,0.0558,6.307,,,-0.04,-0.34,-0.3862,-0.5011,-0.6251,0.6809,0.5569,0.442,0.3958,0.0958,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-10-01,0.5501,0.0294,,,-0.19,-0.22,-0.5223,-0.4561,-0.726,1.2761,1.0062,1.0724,0.7701,0.7401,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-11-01,-0.0936,0.0083,,,-0.23,-0.1,-0.6215,-0.7974,-0.2921,0.1985,0.7038,0.5279,0.006400000000000003,0.13640000000000002,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-12-01,0.0073,-0.0266,,,-0.18,0.12,-0.2653,-0.6777,-0.199,0.2063,0.6849999999999999,0.27259999999999995,-0.1127,0.1873,,,,,,
