Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
JFSSC_06,Line,From - To,472.5,472.5,Hard Constraint,DCHB_NB5,FEB_2019,Off-peak,22.82
JFSSC_06,Line,From - To,472.5,472.5,Hard Constraint,DCHB_NB5,FEB_2019,PeakWD,61.65
JFSSC_06,Line,To - From,-472.5,472.5,Hard Constraint,DCBYJOR5,FEB_2019,PeakWE,1.56
JFSSC_06,Line,From - To,472.5,472.5,Hard Constraint,DCHB_NB5,FEB_2019,PeakWE,42.76
DERSL_85,Line,To - From,-397.8,397.8,Hard Constraint,,FEB_2019,PeakWE,3.17
SOLSRB21,Line,From - To,396.0,396.0,Hard Constraint,SCBYCTR5,FEB_2019,Off-peak,12.53
SOLSRB21,Line,From - To,396.0,396.0,Hard Constraint,SCBYCTR5,FEB_2019,PeakWD,35.4
SOLSRB21,Line,From - To,396.0,396.0,Hard Constraint,SCBYCTR5,FEB_2019,PeakWE,23.1
TLRWAS84,Line,From - To,273.6,273.6,Hard Constraint,SPLSC8,FEB_2019,PeakWD,6.74
PR_PRS33,Line,To - From,-53.1,53.1,Hard Constraint,DTGFLC_8,FEB_2019,Off-peak,1.41
PR_PRS33,Line,From - To,53.1,53.1,Hard Constraint,SDDPCT55,FEB_2019,Off-peak,3.12
PR_PRS33,Line,From - To,53.1,53.1,Hard Constraint,XSR2B89,FEB_2019,PeakWD,9.16
PR_PRS33,Line,To - From,-44.1,44.1,Hard Constraint,,FEB_2019,PeakWD,11.32
PR_PRS33,Line,From - To,44.1,44.1,Hard Constraint,,FEB_2019,PeakWD,84.95
PR_PRS33,Line,From - To,44.1,44.1,Hard Constraint,,FEB_2019,PeakWE,13.45
BSFHN_02,Line,To - From,-226.8,226.8,Hard Constraint,DJCKCPR8,FEB_2019,Off-peak,23.27
BSFHN_02,Line,From - To,226.8,226.8,Hard Constraint,DSN_STR8,FEB_2019,Off-peak,2.81
BSFHN_02,Line,To - From,-226.8,226.8,Hard Constraint,DJCKCPR8,FEB_2019,PeakWD,16.88
BSFHN_02,Line,From - To,226.8,226.8,Hard Constraint,DSN_STR8,FEB_2019,PeakWD,208.66
BSFHN_02,Line,To - From,-226.8,226.8,Hard Constraint,DJCKCPR8,FEB_2019,PeakWE,25.94
BSFHN_02,Line,From - To,226.8,226.8,Hard Constraint,DSN_STR8,FEB_2019,PeakWE,118.17
BBPBYU79,Line,From - To,396.0,396.0,Hard Constraint,DBYU_LP8,FEB_2019,Off-peak,4.45
BBPBYU79,Line,From - To,396.0,396.0,Hard Constraint,DBYU_LP8,FEB_2019,PeakWD,6.27
BBPBYU79,Line,From - To,396.0,396.0,Hard Constraint,DBYU_LP8,FEB_2019,PeakWE,2.93
BYUMCB96,Line,From - To,430.2,430.2,Hard Constraint,SSLVMRN8,FEB_2019,PeakWD,17.98
BYUMCB96,Line,From - To,430.2,430.2,Hard Constraint,SSLVMRN8,FEB_2019,PeakWE,4.43
BR_HOC09,Line,From - To,423.9,423.9,Hard Constraint,,FEB_2019,PeakWD,163.66
GN_TC_37,Line,To - From,-397.8,397.8,Hard Constraint,DGARBRA8,FEB_2019,PeakWD,88.03
GT_MID90,Line,From - To,205.2,205.2,Hard Constraint,DAN_GBY8,FEB_2019,Off-peak,184.1
GT_MID90,Line,From - To,205.2,205.2,Hard Constraint,DAN_GBY8,FEB_2019,PeakWD,293.94
GT_MID90,Line,From - To,205.2,205.2,Hard Constraint,DAN_GBY8,FEB_2019,PeakWE,94.66
F4_Z4,Line,From - To,384.3,384.3,Hard Constraint,DSKYNAC8,FEB_2019,Off-peak,38.19
N3_U2,Line,To - From,-594.0,594.0,Hard Constraint,DBRA_HI8,FEB_2019,Off-peak,18.21
N3_U2,Line,From - To,594.0,594.0,Hard Constraint,DBRABRA8,FEB_2019,PeakWD,22.62
N3_U2,Line,To - From,-594.0,594.0,Hard Constraint,DCALBEC8,FEB_2019,PeakWD,48.75
N4_X3,Line,From - To,430.2,430.2,Hard Constraint,DTOYHOW8,FEB_2019,Off-peak,2.44
N4_X3,Line,From - To,430.2,430.2,Hard Constraint,DTOYHOW8,FEB_2019,PeakWD,39.71
N4_X3,Line,From - To,430.2,430.2,Hard Constraint,DTOYHOW8,FEB_2019,PeakWE,13.82
