Branch Name,03/14/2019 Status,06/16/2023 Status,Description
AV_TAP26_1                      ,,In-Service,Missing-In-First
AV_LIM05_A                      ,,In-Service,Missing-In-First
AV_FW_05_A                      ,,In-Service,Missing-In-First
AV_TAP05_1                      ,,In-Service,Missing-In-First
LIMSO_05_A                      ,,In-Service,Missing-In-First
BOGSL_85_A                      ,,Out-Of-Service,Missing-In-First
BOG_T5S_1                       ,,In-Service,Missing-In-First
BOG_T6S_1                       ,,In-Service,Missing-In-First
BOG_T5T_1                       ,,In-Service,Missing-In-First
BOG_T6T_1                       ,,In-Service,Missing-In-First
BOG_T4T_1                       ,,In-Service,Missing-In-First
SL_RX1264_1                     ,,In-Service,Missing-In-First
BOG_T2S_1                       ,,In-Service,Missing-In-First
BOG_T4S_1                       ,,In-Service,Missing-In-First
BOG_T2T_1                       ,,In-Service,Missing-In-First
BOG_T1_1                        ,,In-Service,Missing-In-First
BOG_T3_1                        ,,In-Service,Missing-In-First
DPWLYD70_A                      ,,In-Service,Missing-In-First
FW_TAP05_1                      ,,In-Service,Missing-In-First
GP_TPA94_1                      ,,In-Service,Missing-In-First
GP_WE_21_A                      ,,In-Service,Missing-In-First
FDLGP_21_A                      ,,In-Service,Missing-In-First
BL_MC_02_1                      ,,In-Service,Missing-In-First
138_GNB_CTL_1                   ,,In-Service,Missing-In-First
GA_GL_01_A                      ,,In-Service,Missing-In-First
BLESSI_PAVLOV1_1                ,,In-Service,Missing-In-First
CL_HG_33_A                      ,,Out-Of-Service,Missing-In-First
BLACKC_CONOCO1_1                ,,In-Service,Missing-In-First
HADPRK84_A                      ,,In-Service,Missing-In-First
MTSRVR94_A                      ,,In-Service,Missing-In-First
JCKVL_36_A                      ,,In-Service,Missing-In-First
TIELINE7_1                      ,,In-Service,Missing-In-First
TIELINE8_1                      ,,In-Service,Missing-In-First
CFB1_1                          ,,In-Service,Missing-In-First
CFB2_1                          ,,In-Service,Missing-In-First
TIELINE5_1                      ,,In-Service,Missing-In-First
TIELINE6_1                      ,,In-Service,Missing-In-First
BKENSH02_A                      ,,In-Service,Missing-In-First
DL_MC_02_1                      ,,In-Service,Missing-In-First
MC_TAP02_1                      ,,In-Service,Missing-In-First
BC_FB_89_A                      ,,In-Service,Missing-In-First
BC_NV_89_A                      ,,In-Service,Missing-In-First
JORKG_97_A                      ,,In-Service,Missing-In-First
DA_NV_89_A                      ,,In-Service,Missing-In-First
BOGPIR88_A                      ,,In-Service,Missing-In-First
BH_GF_12_A                      ,,In-Service,Missing-In-First
PG_TAP60_1                      ,,In-Service,Missing-In-First
PG_SAN60_A                      ,,In-Service,Missing-In-First
GLFPG_60_A                      ,,In-Service,Missing-In-First
AT_LAK66_A                      ,,In-Service,Missing-In-First
MCKOR_60_A                      ,,In-Service,Missing-In-First
BEAOR_60_A                      ,,In-Service,Missing-In-First
ACHMV_26_A                      ,,In-Service,Missing-In-First
GE_WOR76_A                      ,,In-Service,Missing-In-First
BERPL_96_A                      ,,In-Service,Missing-In-First
EAGMB_52_A                      ,,In-Service,Missing-In-First
EAGWIN52_A                      ,,In-Service,Missing-In-First
HK_WL_65_A                      ,,In-Service,Missing-In-First
HK_STL66_A                      ,,In-Service,Missing-In-First
CV_PRK84_A                      ,,In-Service,Missing-In-First
TIDTRV06_A                      ,,In-Service,Missing-In-First
DABLV_04_A                      ,,In-Service,Missing-In-First
BT_GAR66_A                      ,,In-Service,Missing-In-First
CVNLAN86_A                      ,,In-Service,Missing-In-First
138_CHE_CTL_1                   ,,In-Service,Missing-In-First
THWGEN05_1                      ,,In-Service,Missing-In-First
THWGEN01_1                      ,,In-Service,Missing-In-First
THWTPB81_1                      ,,In-Service,Missing-In-First
LK_THW11_A                      ,,In-Service,Missing-In-First
THWTPA81_1                      ,,In-Service,Missing-In-First
THWGEN03_1                      ,,In-Service,Missing-In-First
THWWOR21_A                      ,,In-Service,Missing-In-First
THWGEN04_1                      ,,In-Service,Missing-In-First
NCARBI_SANDCR1_1                ,,In-Service,Missing-In-First
NCARBI_SERDEV1_1                ,,In-Service,Missing-In-First
WAPWLF64_A                      ,,In-Service,Missing-In-First
WAPGEN06_1                      ,,In-Service,Missing-In-First
WAPGEN07_1                      ,,In-Service,Missing-In-First
WAPWLY72_A                      ,,In-Service,Missing-In-First
WAPGEN08_1                      ,,Out-Of-Service,Missing-In-First
WAPBR1_1                        ,,In-Service,Missing-In-First
WAPBR2_1                        ,,In-Service,Missing-In-First
WAPGEN05_1                      ,,In-Service,Missing-In-First
WAPGT101_1                      ,,In-Service,Missing-In-First
WAPGEN02_1                      ,,In-Service,Missing-In-First
WAPGEN01_1                      ,,In-Service,Missing-In-First
WAPGEN04_1                      ,,In-Service,Missing-In-First
WAPGEN03_1                      ,,In-Service,Missing-In-First
CORICH_EL_CAM1_1                ,,In-Service,Missing-In-First
ARROZ_EL_CAM1_1                 ,,Out-Of-Service,Missing-In-First
FOSTWM25_A                      ,,In-Service,Missing-In-First
ED_ENC91_A                      ,,In-Service,Missing-In-First
REFSTP27_A                      ,,In-Service,Missing-In-First
ANGSTR_STP1_1                   ,,In-Service,Missing-In-First
GG_MYK06_A                      ,,In-Service,Missing-In-First
GG_MYK91_A                      ,,In-Service,Missing-In-First
VCRZEN45_A                      ,,In-Service,Missing-In-First
CAYCESW_MRKHTP_1                ,,In-Service,Missing-In-First
GALOW_RICEBI_1                  ,,In-Service,Missing-In-First
JORJOR52_1                      ,,In-Service,Missing-In-First
JORTAP48_1                      ,,In-Service,Missing-In-First
